Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
42,Chile Limpio. Vote Feliz,PRI,2,12149,10.8,0
42,Válidamente emitidos,,0,112459,100.0,0
43,Concertación y Juntos Podemos por más Democracia,PS,1,26369,24.58,0
43,Concertación y Juntos Podemos por más Democracia,PPD,1,33622,31.35,1
43,Coalición por el Cambio,RN,1,8996,8.39,0
43,Coalición por el Cambio,UDI,1,30309,28.26,1
43,Nueva Mayoría para Chile,PH,1,2341,2.18,0
43,Chile Limpio. Vote Feliz,PRI,1,2070,1.93,0
43,Candidatura Independiente,IND,1,3550,3.31,0
43,Válidamente emitidos,,0,107257,100.0,0
44,Concertación y Juntos Podemos por más Democracia,PPD,1,36824,21.94,0
44,Concertación y Juntos Podemos por más Democracia,PDC,1,45379,27.04,1
44,Coalición por el Cambio,RN,1,28932,17.24,0
44,Coalición por el Cambio,UDI,1,44735,26.65,1
44,Chile Limpio. Vote Feliz,PRI,1,2502,1.49,0
44,Válidamente emitidos,,0,167843,100.0,0
45,Concertación y Juntos Podemos por más Democracia,PS,1,38379,33.8,1
45,Concertación y Juntos Podemos por más Democracia,PDC,1,19140,16.86,0
45,Coalición por el Cambio,RN,1,10006,8.81,0
45,Coalición por el Cambio,UDI,1,29272,25.78,1
45,Válidamente emitidos,,0,113555,100.0,0
46,Concertación y Juntos Podemos por más Democracia,PC,1,22326,22.92,0
46,Concertación y Juntos Podemos por más Democracia,PS,1,30360,31.16,1
46,Coalición por el Cambio,UDI,1,34852,35.77,1
46,Chile Limpio. Vote Feliz,PRI,1,1750,1.8,0
46,Válidamente emitidos,,0,97420,100.0,0
47,Concertación y Juntos Podemos por más Democracia,PS,1,23725,17.21,0
47,Concertación y Juntos Podemos por más Democracia,PRSD,1,46606,33.8,1
47,Coalición por el Cambio,RN,1,10039,7.28,0
47,Coalición por el Cambio,UDI,1,51937,37.67,1
47,Nueva Mayoría para Chile,PH,1,1430,1.04,0
47,Chile Limpio. Vote Feliz,PRI,1,2433,1.76,0
47,Válidamente emitidos,,0,137868,100.0,0
48,Concertación y Juntos Podemos por más Democracia,PS,1,11260,16.69,0
48,Concertación y Juntos Podemos por más Democracia,PDC,1,20102,29.8,1
48,Coalición por el Cambio,RN,1,14918,22.12,0
48,Coalición por el Cambio,UDI,1,17223,25.54,1
48,Chile Limpio. Vote Feliz,PRI,1,1073,1.59,0
48,Válidamente emitidos,,0,67446,100.0,0
49,Concertación y Juntos Podemos por más Democracia,PDC,1,20212,30.26,1
49,Concertación y Juntos Podemos por más Democracia,PPD,1,12744,19.08,0
49,Coalición por el Cambio,UDI,1,16009,23.97,1
49,Coalición por el Cambio,RN,1,15629,23.4,0
49,Nueva Mayoría para Chile,PH,1,1445,2.16,0
49,Válidamente emitidos,,0,66797,100.0,0
50,Concertación y Juntos Podemos por más Democracia,PPD,1,22330,18.6,0
50,Concertación y Juntos Podemos por más Democracia,PDC,1,37017,30.83,1
50,Coalición por el Cambio,UDI,1,14484,12.06,0
50,Coalición por el Cambio,RN,1,33785,28.14,1
50,Chile Limpio. Vote Feliz,PRI,2,3275,2.73,0
50,Candidatura Independiente,IND,1,4604,3.84,0
50,Válidamente emitidos,,0,120052,100.0,0
51,Concertación y Juntos Podemos por más Democracia,PPD,1,16327,24.36,1
51,Coalición por el Cambio,RN,1,11275,16.82,1
51,Coalición por el Cambio,UDI,1,10771,16.07,0
51,Chile Limpio. Vote Feliz,PRI,2,8468,12.63,0
51,Válidamente emitidos,,0,67023,100.0,0
52,Concertación y Juntos Podemos por más Democracia,PDC,1,8988,13.3,0
52,Concertación y Juntos Podemos por más Democracia,PRSD,1,22116,32.72,1
52,Coalición por el Cambio,UDI,1,10686,15.81,0
52,Coalición por el Cambio,RN,1,20726,30.66,1
52,Nueva Mayoría para Chile,PH,1,671,0.99,0
52,Chile Limpio. Vote Feliz,PRI,2,2977,4.4,0
52,Válidamente emitidos,,0,67591,100.0,0
53,Concertación y Juntos Podemos por más Democracia,PDC,1,16620,19.84,0
53,Concertación y Juntos Podemos por más Democracia,PS,1,32433,38.71,1
53,Coalición por el Cambio,UDI,1,7309,8.72,0
53,Coalición por el Cambio,RN,1,25360,30.27,1
53,Chile Limpio. Vote Feliz,PRI,2,2054,2.45,0
53,Válidamente emitidos,,0,83776,100.0,0
54,Concertación y Juntos Podemos por más Democracia,PPD,1,29004,37.43,1
54,Concertación y Juntos Podemos por más Democracia,PDC,1,10202,13.16,0
54,Coalición por el Cambio,UDI,1,19978,25.78,1
54,Coalición por el Cambio,RN,1,16749,21.61,0
54,Chile Limpio. Vote Feliz,PRI,1,598,0.77,0
54,Válidamente emitidos,,0,77496,100.0,0
55,Concertación y Juntos Podemos por más Democracia,PDC,1,23623,30.44,1
55,Concertación y Juntos Podemos por más Democracia,PRSD,1,9883,12.74,0
55,Coalición por el Cambio,UDI,1,22108,28.49,1
55,Coalición por el Cambio,RN,1,15888,20.48,0
55,Chile Limpio. Vote Feliz,PRI,2,6093,7.85,0
55,Válidamente emitidos,,0,77595,100.0,0
56,Concertación y Juntos Podemos por más Democracia,PS,1,39245,51.3,1
56,Coalición por el Cambio,UDI,1,18792,24.57,1
56,Coalición por el Cambio,RN,1,10852,14.19,0
56,Chile Limpio. Vote Feliz,PRI,1,930,1.22,0
56,Válidamente emitidos,,0,76494,100.0,0
57,Concertación y Juntos Podemos por más Democracia,PC,1,3523,4.03,0
57,Concertación y Juntos Podemos por más Democracia,PDC,1,33782,38.6,1
57,Coalición por el Cambio,RN,1,13773,15.74,0
57,Coalición por el Cambio,UDI,1,28552,32.62,1
57,Chile Limpio. Vote Feliz,PRI,1,1102,1.26,0
57,Candidatura Independiente,IND,1,5556,6.35,0
57,Válidamente emitidos,,0,87526,100.0,0
58,Concertación y Juntos Podemos por más Democracia,PS,1,16638,22.02,0
