Distrito,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,url
19,Nueva Mayoría para Chile,PH,"['Leonora', 'Zúñiga', 'Fuentes']",1775,1.73,,
19,Nueva Mayoría para Chile,IND,"['Cristopher', 'González', 'Castillo']",1305,1.27,,
19,Chile Limpio. Vote Feliz,MAS,"['Damaris', 'Hernández', 'Muñoz']",1177,1.15,,
19,Chile Limpio. Vote Feliz,IND,"['Jorge', 'Pavez', 'Urrutia']",2485,2.42,,
19,Válidamente emitidos,,[],102642,100,,
20,Concertación y Juntos Podemos por más Democracia,PPD,"['Pepe', 'Auth', 'Stewart']",49981,20.7,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Pepe_Auth_Stewart
20,Concertación y Juntos Podemos por más Democracia,PDC,"['Ricardo', 'Fabrega', 'Lacoa']",24562,10.17,,
20,Coalición por el Cambio,RN,"['Roberto', 'Sepúlveda', 'Hermosilla']",38296,15.86,,
20,Coalición por el Cambio,UDI,"['Mónica', 'Zalaquett', 'Said']",56168,23.26,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Mónica_Beatriz_Zalaquett_Said
20,Nueva Mayoría para Chile,IND,"['René', 'Tabilo', 'Alvarez']",16428,6.8,,
20,Nueva Mayoría para Chile,IND,"['Alvaro', 'Escobar', 'Rufatt']",52755,21.85,,
20,Chile Limpio. Vote Feliz,PRI,"['René', 'Osorio', 'Serrano']",2245,0.93,,
20,Chile Limpio. Vote Feliz,PRI,"['Luis', 'Rodolfo', 'Pérez', 'Vera']",1011,0.42,,
20,Válidamente emitidos,,[],241446,100,,
21,Concertación y Juntos Podemos por más Democracia,PDC,"['Jorge', 'Burgos', 'Varela']",52982,29.79,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Burgos_Varela
21,Concertación y Juntos Podemos por más Democracia,IND,"['Alvaro', 'Cabrera', 'Maray']",15453,8.69,,
21,Coalición por el Cambio,RN,"['Marcela', 'Sabat', 'Fernández']",48732,27.4,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Marcela_Constanza_Sabat_Fernández
21,Coalición por el Cambio,UDI,"['Rodrigo', 'Alvarez', 'Zenteno']",47013,26.44,,
21,Nueva Mayoría para Chile,PH,"['Natalia', 'Sobarzo', 'Galleani']",6658,3.74,,
21,Nueva Mayoría para Chile,IND,"['Claudio', 'Venegas', 'Rojas']",3454,1.94,,
21,Chile Limpio. Vote Feliz,PRI,"['Gloria', 'Angélica', 'Montero', 'Silva']",3547,1.99,,
21,Válidamente emitidos,,[],177839,100,,
22,Concertación y Juntos Podemos por más Democracia,PPD,"['Felipe', 'Harboe', 'Bascuñán']",42060,38.66,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Felipe_Harboe_Bascuñán
22,Concertación y Juntos Podemos por más Democracia,PS,"['Guido', 'Camu', 'Urzúa']",9018,8.29,,
22,Coalición por el Cambio,UDI,"['Christian', 'Espejo', 'Muñoz']",9696,8.91,,
22,Coalición por el Cambio,RN,"['Alberto', 'Cardemil', 'Herrera']",38949,35.8,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Alberto_Eugenio_Cardemil_Herrera
22,Nueva Mayoría para Chile,IND,"['Pablo', 'Peñaloza', 'Torres']",2930,2.69,,
22,Nueva Mayoría para Chile,PH,"['Danilo', 'Monteverde', 'Reyes']",3705,3.41,,
22,Chile Limpio. Vote Feliz,PRI,"['Guillermo', 'Holtheuer', 'Lafosse']",2428,2.23,,
